SubjNo,List,prime,prime_semantics,correct response,given response,match?,rt,perceptual rating,date,frameRate,experiment_name,session,participant,
16,1,The towels passed Phil,Non-sensible,down,down,1,1.00671005249,1,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,The floor cleaned Tim,Non-sensible,up,None,0,None,0,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,I changed the sock,Sklar_filler,down,down,1,0.956966161728,1,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,The papers filed Lara,Non-sensible,down,None,0,None,0,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,Jack drank the beer,Sensible,down,None,0,None,0,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,I tied the chasm,Sklar_violation,down,None,0,None,0,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,Amy hugged the tree,Sensible,down,None,0,None,0,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,The plate licked Jane,Non-sensible,down,None,0,None,0,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,Jane licked the plate,Sensible,up,up,1,3.82247304916,2,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,I gathered the shower,Sklar_violation,up,None,0,None,0,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,The bike kicked Matt,Non-sensible,up,up,1,5.39755392075,1,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,The bucket lent Max,Non-sensible,up,None,0,None,0,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,The perfume sniffed Tim,Non-sensible,up,up,1,0.873589992523,2,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,Phil cancelled the party,Sensible,down,None,0,None,0,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,I cleaned the floor,Sklar_filler,up,up,1,3.1152780056,1,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,The hill climbed Luke,Non-sensible,down,down,1,0.890307188034,2,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
16,1,Joe solved the puzzle,Sensible,down,None,0,None,1,2015_Oct_15_1109,60.0138791711,CFS popping time,001,,
