Prime,Semantics
I broke the water ,Violations
I drank the chair,Violations
I crumpled the river,Violations
I shampooed the key,Violations
I laundered the refrigerator,Violations
I lit the rain,Violations
I wore the way,Violations
I built the rice,Violations
I smelled the melody,Violations
I scrubbed the thunder,Violations
I cut the sand,Violations
I  spilled the moon,Violations
I turned off the door ,Violations
I burnt the clouds ,Violations
I locked the ground ,Violations
I gathered the shower,Violations
I  swallowed the shed ,Violations
I cut the wine,Violations
I woke up the steam ,Violations
I interviewed the vinegar,Violations
I solved the peas,Violations
I tied the chasm,Violations
I  tore the juice,Violations
I broke the hat,Violations
I washed the dance,Violations
I planted the hammer,Violations
I sewed the smoke,Violations
I fried the shirt,Violations
I dug the paint,Violations
I cooked the stairs,Violations
I turned up the bread,Violations
I ironed the coffee,Violations
I folded the diamond,Violations
I shaved the glue,Violations
I heated the water,Violations
I moved the chair,Controls A
I photographed the  river,Controls A
I found the key,Controls A
I opened the refrigerator,Controls A
I drew the rain,Controls A
I looked  for the way,Controls A
I cooked the rice,Controls A
I played the melody,Controls A
I heard the thunder,Controls A
I sprinkled the sand,Controls A
I photographed the moon,Controls A
I closed  the door,Controls A
I saw the clouds,Controls A
I watered the ground,Controls A
I fixed up the shower,Controls A
I fixed up the shed,Controls A
I tasted the wine,Controls A
I wiped the steam ,Controls A
I tasted the vinegar,Controls A
I threw the peas,Controls A
I found the chasm,Controls A
I wiped the juice,Controls A
I moved the hat,Controls A
I liked the dance,Controls A
I lifted the hammer,Controls A
I smelled the smoke,Controls A
I wore the shirt,Controls A
I looked for the paint,Controls A
I fixed  the stairs,Controls A
I baked the bread,Controls A
I made the coffee,Controls A
I sold the diamond,Controls A
I spread the glue,Controls A
I broke the glass,Controls B
I drank the chocolate milk,Controls B
I crumpled the paper,Controls B
I  shampooed the hair,Controls B
I laundered the scarf,Controls B
I lit the lamp,Controls B
I wore the gloves,Controls B
I built the building,Controls B
I smelled the pie,Controls B
I scrubbed the house,Controls B
I cut the string,Controls B
I spilled the juice,Controls B
I turned off the computer,Controls B
I burnt the stew,Controls B
I locked the cabinet,Controls B
I gathered the dice,Controls B
I swallowed the food,Controls B
I cut the bread,Controls B
I woke up the child,Controls B
I interviewed the woman,Controls B
I solved  the exercise,Controls B
I tied the shoelace,Controls B
I tore the map,Controls B
I broke the border,Controls B
I washed the floor,Controls B
I planted the plant,Controls B
I sewed the sock,Controls B
I fried the squash,Controls B
I dug the well,Controls B
I cooked the tomatoes,Controls B
I turned up the volume,Controls B
I ironed the clothes,Controls B
I folded the vest,Controls B
I shaved the head,Controls B
I baked the pie,Fillers
I cooked the tomatoes,Fillers
I imagined the well,Fillers
I imagined the border,Fillers
I lifted the Squash,Fillers
I changed the sock,Fillers
I changed  the computer,Fillers
I prepared the stew,Fillers
I sweetened the juice,Fillers
I sweetened the  chocolate milk ,Fillers
I heard the sound,Fillers
I saw the light,Fillers
I sold the string,Fillers
I wore the vest,Fillers
I warmed up the food,Fillers
I threw the bread,Fillers
I watered the plant,Fillers
I fixed the gloves,Fillers
I liked the  scarf,Fillers
I found the exercise,Fillers
I cleaned the house,Fillers
I cleaned the floor,Fillers
I drew the map,Fillers
I closed the cabinet,Fillers
I met the child,Fillers
I met the woman,Fillers
I scattered the dice,Fillers
I painted the building,Fillers
I colored the paper,Fillers
I smelled the hair,Fillers
I bought the clothes,Fillers
I bought the shoe lace,Fillers
I washed the cup,Fillers
I washed the head,Fillers
