,Unnamed: 0,Unnamed: 0.1,Condition,Contrast,List,MeanAffectivity,SubjNo,Unnamed: 16,Unnamed: 17,correct response,date,experiment_name,frameRate,given response,match?,participant,perceptual rating,prime,prime_semantics,rt,session,PairID,string_length
0,0,0,New,50,1,-2.046511628,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,The baby hit Mum,Neutral sentence,1.44702291489,1,14.0,16
1,1,1,Sklar_Hebrew_negative,50,1,-3.55,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,0,רכב הפוך,Hebrew,1.24737095833,1,,8
2,2,2,Sklar_Hebrew_neutral,80,1,-0.3,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,שמשה קדמית,Hebrew,1.4941561222100002,1,,10
3,3,3,New,50,1,-4.511627907,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,The snake ate the man,Negative sentence,1.37640190125,1,29.0,21
4,4,4,New,50,1,-2.7317073169999997,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,computer bug,Negative phrase,1.1372258663200001,1,1039.0,12
5,5,5,New,50,1,-2.348837209,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The baby hit the brick,Neutral sentence,1.38830494881,1,10.0,22
6,6,6,Sklar_Hebrew_negative,80,1,-4.1,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,סחר בנשים,Hebrew,0.8826160430910001,1,,9
7,7,7,New,50,1,0.5555555560000001,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,tin opener,Neutral phrase,1.85880494118,1,1021.0,10
8,8,8,New,50,1,-1.8409090909999999,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,spotty face,Negative phrase,0.960854053497,1,1038.0,11
9,9,9,Sklar,50,1,2.11627907,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,ironed shirt,Neutral phrase,0.9493060112,1,1006.0,12
10,10,10,Sklar_Hebrew_neutral,80,1,1.45,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,תיקרה גבוהה,Hebrew,1.02342414856,1,,11
11,11,11,New,50,1,-0.511627907,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,The nurse injected the patient,Neutral sentence,0.835478067398,1,1.0,30
12,12,12,Sklar_Hebrew_negative,80,1,-3.54,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,מנת יתר,Hebrew,0.8236758708949999,1,,7
13,13,13,Sklar_Hebrew_neutral,80,1,0.4,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,ידית אחיזה,Hebrew,0.662174940109,1,,10
14,14,14,Sklar_Hebrew_neutral,50,1,0.75,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,מסך מחשב,Hebrew,1.4589681625400002,1,,8
15,15,15,Sklar_Hebrew_neutral,50,1,-0.2,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,גלגל שיניים,Hebrew,0.8869090080259999,1,,11
16,16,16,Sklar_Hebrew_neutral,80,1,0.2,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,מגרש חנייה,Hebrew,0.7110550403589999,1,,10
17,17,17,Sklar_Hebrew_negative,80,1,-3.1,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,מנוחת עולמים,Hebrew,0.788166999817,1,,12
18,18,18,Sklar,50,1,-3.813953488,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,electric chair,Negative phrase,0.8471419811249999,1,1048.0,14
19,19,19,Sklar,50,1,0.744186047,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,backpack,Neutral phrase,0.828546047211,1,1019.0,8
20,20,20,New,50,1,-4.837209302,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,The fire killed the fireman,Negative sentence,0.81195306778,1,4.0,27
21,21,21,Sklar_Hebrew_negative,50,1,-4.15,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,יתד בעין,Hebrew,1.1645820140799998,1,,8
22,22,22,New,50,1,1.3023255809999998,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,dining table,Neutral phrase,2.16452598572,1,1023.0,12
23,23,23,Sklar_Hebrew_negative,50,1,-3.11,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,ליל הבדולח,Hebrew,0.8942899703980001,1,,10
