Stimuli,mean,std,Condition,PairID
The nurse injected the patient,-0.511627907,1.764357336,Neutral sentence,1
The patient injected the nurse,-3.511627907,1.638409406,Negative sentence,1
The teacher loved the girl,2.372093023,2.600579201,Negative sentence,2
The girl loved the teacher,3.365853659,1.669672087,Neutral sentence,2
Bobby ate the boar,-0.955555556,1.870288694,Neutral sentence,3
The boar ate Bobby,-4.658536585,0.693172276,Negative sentence,3
The fireman killed the fire,3.545454545,1.044465936,Neutral sentence,4
The fire killed the fireman,-4.837209302,0.432612912,Negative sentence,4
Dad slapped the toddler,-4.363636364,0.942310596,Negative sentence,5
The toddler slapped dad,-2.585365854,1.516172974,Neutral sentence,5
Harry caught the octopus,0.181818182,1.660382798,Neutral sentence,6
The octopus caught Harry,-3.146341463,1.441543888,Negative sentence,6
The dog chased baby,-2.833333333,1.723816903,Negative sentence,7
Baby chased the dog,0.414634146,1.702580538,Neutral sentence,7
The elephant caught the poacher,1.272727273,2.618037934,Neutral sentence,8
The poacher caught the elephant,-4.048780488,1.047645444,Negative sentence,8
The officer crushed the car,-3.222222222,1.363299622,Neutral sentence,9
The car crushed the officer,-4.581395349,0.823250183,Negative sentence,9
The baby hit the brick,-2.348837209,1.850144408,Neutral sentence,10
The brick hit the baby,-4.243902439,1.113114725,Negative sentence,10
Steve jumped on the dog,-2.311111111,1.534781924,Negative sentence,11
The dog jumped on Steve,-0.909090909,1.890221862,Neutral sentence,11
The car dragged Claire,-4.627906977,0.578308528,Negative sentence,12
Claire dragged the car,-1.414634146,1.264428918,Neutral sentence,12
John kicked the baby,-4.522727273,0.820908072,Negative sentence,13
The baby kicked john,-1.75,1.557054464,Neutral sentence,13
The baby hit Mum,-2.046511628,1.396483481,Neutral sentence,14
Mum hit the baby,-4.195121951,1.288788427,Negative sentence,14
The kitten chewed the lawnmower,-1.159090909,1.952257868,Neutral sentence,15
The lawnmower chewed the kitten,-4.744186047,0.658028197,Negative sentence,15
The ball hit Sam,-2.644444444,1.264112257,Negative sentence,16
Sam hit the ball,1.931818182,1.437014464,Neutral sentence,16
The paper cut Andy,-2.022727273,1.210201528,Negative sentence,17
Andy cut the paper,0.186046512,0.982121464,Neutral sentence,17
The male was a pig,-2.23255814,1.77062283,Negative sentence,18
