SubjNo,List,word,prime_semantics,info,len,ValMn,correct response,given response,match?,rt,date,frameRate,
21,1,jealous,negative,long negative,7,2.86,down,down,1,1.36401720607,2016_Aug_17_1009,85.0511867385,
21,1,dare,neutral,short neutral,4,5.76,up,up,1,1.22282717458,2016_Aug_17_1009,85.0511867385,
21,1,hat,neutral,short neutral,3,5.46,down,down,1,6.06844553887,2016_Aug_17_1009,85.0511867385,
21,1,subject,neutral,long neutral,7,5.04,up,up,1,2.06966748857,2016_Aug_17_1009,85.0511867385,
21,1,frustrated,negative,long negative,10,2.48,up,up,1,3.3751343824,2016_Aug_17_1009,85.0511867385,
21,1,despise,negative,long negative,7,2.03,down,down,1,1.49333347869,2016_Aug_17_1009,85.0511867385,
21,1,arm,neutral,short neutral,3,5.34,up,up,1,2.38718582102,2016_Aug_17_1009,85.0511867385,
21,1,lightbulb,neutral,long neutral,9,5.61,up,up,1,2.41072903894,2016_Aug_17_1009,85.0511867385,
21,1,body,neutral,short neutral,4,5.55,down,down,1,1.11698773043,2016_Aug_17_1009,85.0511867385,
21,1,gate,neutral,short neutral,4,5.52,up,up,1,1.56390636467,2016_Aug_17_1009,85.0511867385,
21,1,criminal,negative,long negative,8,2.93,down,down,1,2.61065123184,2016_Aug_17_1009,85.0511867385,
21,1,oath,neutral,short neutral,4,5.57,up,up,1,1.15226904192,2016_Aug_17_1009,85.0511867385,
21,1,privacy,neutral,long neutral,7,5.88,up,up,1,1.18759076425,2016_Aug_17_1009,85.0511867385,
21,1,rape,negative,short negative,4,1.25,up,up,1,1.56392881519,2016_Aug_17_1009,85.0511867385,
21,1,weep,negative,short negative,4,1.8,down,down,1,0.811881327827,2016_Aug_17_1009,85.0511867385,
21,1,card,neutral,short neutral,4,5.61,down,down,1,3.10460306203,2016_Aug_17_1009,85.0511867385,
21,1,hour,neutral,short neutral,4,5.1,up,up,1,2.97525150998,2016_Aug_17_1009,85.0511867385,
21,1,path,neutral,short neutral,4,5.74,down,down,1,1.540414783,2016_Aug_17_1009,85.0511867385,
21,1,sympathy,neutral,long neutral,8,5.33,down,down,1,1.62274340214,2016_Aug_17_1009,85.0511867385,
21,1,blowdryer,neutral,long neutral,9,5.31,down,down,1,1.05815710744,2016_Aug_17_1009,85.0511867385,
21,1,rock,neutral,short neutral,4,5.56,down,down,1,1.12879830709,2016_Aug_17_1009,85.0511867385,
21,1,terrace,neutral,long neutral,7,5.55,down,down,1,1.71682037791,2016_Aug_17_1009,85.0511867385,
21,1,clarinet,neutral,long neutral,8,5.7,up,up,1,1.15223376255,2016_Aug_17_1009,85.0511867385,
21,1,lie,negative,short negative,3,2.79,up,up,1,1.01114026818,2016_Aug_17_1009,85.0511867385,
21,1,umbrella,neutral,long neutral,8,5.16,down,down,1,0.89354060078,2016_Aug_17_1009,85.0511867385,
21,1,lid,neutral,short neutral,3,5.03,down,down,1,0.881753757596,2016_Aug_17_1009,85.0511867385,
21,1,dusk,neutral,short neutral,4,5.4,up,up,1,2.38718614168,2016_Aug_17_1009,85.0511867385,
21,1,rely,neutral,short neutral,4,5.27,down,down,1,2.39896175975,2016_Aug_17_1009,85.0511867385,
21,1,ketchup,neutral,long neutral,7,5.6,down,down,1,1.35221015732,2016_Aug_17_1009,85.0511867385,
21,1,war,negative,short negative,3,2.08,down,down,1,1.8579783371,2016_Aug_17_1009,85.0511867385,
21,1,handicap,negative,long negative,8,3.29,up,up,1,1.08171187132,2016_Aug_17_1009,85.0511867385,
21,1,egg,neutral,short neutral,3,5.29,up,up,1,2.06960975868,2016_Aug_17_1009,85.0511867385,
21,1,hell,negative,short negative,4,2.24,up,up,1,1.29339492903,2016_Aug_17_1009,85.0511867385,
21,1,confusion,negative,long negative,9,3.46,down,down,1,0.964088149718,2016_Aug_17_1009,85.0511867385,
21,1,fern,neutral,short neutral,4,5.1,up,up,1,2.32836578181,2016_Aug_17_1009,85.0511867385,
21,1,blackmail,negative,long negative,9,2.95,down,down,1,0.822949433699,2016_Aug_17_1009,85.0511867385,
21,1,decompose,negative,long negative,9,3.2,down,down,1,1.16425986402,2016_Aug_17_1009,85.0511867385,
21,1,taxi,neutral,short neutral,4,5.0,up,up,1,1.08174586785,2016_Aug_17_1009,85.0511867385,
21,1,bomb,negative,short negative,4,2.1,down,down,1,0.775911106146,2016_Aug_17_1009,85.0511867385,
21,1,dumb,negative,short negative,4,3.0,down,down,1,0.999379724264,2016_Aug_17_1009,85.0511867385,
21,1,nun,neutral,short neutral,3,4.93,down,down,1,1.68150923937,2016_Aug_17_1009,85.0511867385,
21,1,mistake,negative,long negative,7,2.86,up,up,1,0.928769955412,2016_Aug_17_1009,85.0511867385,
21,1,lighthouse,neutral,long neutral,10,5.89,up,up,1,1.5403926532,2016_Aug_17_1009,85.0511867385,
21,1,whistle,neutral,long neutral,7,5.81,down,down,1,0.893524243962,2016_Aug_17_1009,85.0511867385,
21,1,sick,negative,short negative,4,1.9,down,down,1,1.94025564089,2016_Aug_17_1009,85.0511867385,
21,1,terrified,negative,long negative,9,1.72,down,down,1,1.31692339364,2016_Aug_17_1009,85.0511867385,
21,1,greyhound,neutral,long neutral,9,5.42,down,down,1,0.764129394549,2016_Aug_17_1009,85.0511867385,
21,1,cat,neutral,short neutral,3,5.72,up,up,1,1.3404643666,2016_Aug_17_1009,85.0511867385,
21,1,net,neutral,short neutral,3,4.8,down,down,1,1.09346215229,2016_Aug_17_1009,85.0511867385,
21,1,cliffdiver,neutral,long neutral,10,5.8,down,down,1,0.846471163211,2016_Aug_17_1009,85.0511867385,
21,1,dent,negative,short negative,4,2.93,down,down,1,1.17577409383,2016_Aug_17_1009,85.0511867385,
21,1,monk,neutral,short neutral,4,5.18,up,up,1,1.06994106423,2016_Aug_17_1009,85.0511867385,
21,1,arch,neutral,short neutral,4,5.37,up,up,1,1.41101672628,2016_Aug_17_1009,85.0511867385,
21,1,temptation,neutral,long neutral,10,4.94,down,down,1,1.34044865111,2016_Aug_17_1009,85.0511867385,
21,1,grafitti,neutral,long neutral,8,4.82,up,up,1,1.74035269127,2016_Aug_17_1009,85.0511867385,
21,1,week,neutral,short neutral,4,5.35,down,down,1,1.06065360515,2016_Aug_17_1009,85.0511867385,
21,1,furious,negative,long negative,7,1.96,down,down,1,1.89322468988,2016_Aug_17_1009,85.0511867385,
21,1,bulb,neutral,short neutral,4,5.17,up,up,1,1.01111396914,2016_Aug_17_1009,85.0511867385,
21,1,cord,neutral,short neutral,4,5.1,down,down,1,0.705339503125,2016_Aug_17_1009,85.0511867385,
21,1,activate,neutral,long neutral,8,5.46,down,down,1,0.740598364035,2016_Aug_17_1009,85.0511867385,
21,1,missiles,negative,long negative,8,3.17,down,down,1,0.787650803337,2016_Aug_17_1009,85.0511867385,
21,1,soak,neutral,short neutral,4,5.38,down,down,1,0.83470099757,2016_Aug_17_1009,85.0511867385,
21,1,ham,neutral,short neutral,3,5.31,down,down,1,1.14052902395,2016_Aug_17_1009,85.0511867385,
21,1,yolk,neutral,short neutral,4,5.48,down,down,1,1.30516092526,2016_Aug_17_1009,85.0511867385,
