info,Condition,Word,Valence
1,long negative,aggravated,2.66
2,long negative,aggravation,2.1
3,long negative,allergy,3.07
4,long negative,anguished,2.12
5,long negative,annoyance,2.97
6,long negative,apprehension,3.03
7,long negative,avalanche,3.29
8,long negative,bankrupt,2
9,long negative,bastard,3.36
10,long negative,blackmail,2.95
11,long negative,blister,2.88
12,long negative,burdened,2.5
13,long negative,burglar,2.52
14,long negative,carcass,3.34
15,long negative,cigarette,2.46
16,long negative,cocaine,3.37
17,long negative,confusion,3.46
18,long negative,corrupt,3.32
19,long negative,criminal,2.93
20,long negative,cripple,2.89
21,long negative,crushed,2.21
22,long negative,decapitate,2.45
23,long negative,decompose,3.2
24,long negative,deformed,2.41
25,long negative,depressed,1.83
26,long negative,despise,2.03
27,long negative,destroy,2.64
28,long negative,discouraged,3
29,long negative,disgusting,2.96
30,long negative,distress,2.67
31,long negative,enraged,2.46
32,long negative,frustrated,2.48
33,long negative,furious,1.96
34,long negative,handicap,3.29
35,long negative,handicapped,3.23
36,long negative,headache,2.02
37,long negative,homeless,2.06
38,long negative,horrible,2.28
39,long negative,hostile,2.73
40,long negative,hurricane,3.34
41,long negative,immature,3.39
42,long negative,impotent,2.81
43,long negative,infection,1.66
44,long negative,invader,3.05
45,long negative,irritate,3.11
46,long negative,irritated,2.23
47,long negative,jealous,2.86
48,long negative,jealousy,2.51
49,long negative,mastectomy,2.89
50,long negative,measles,2.74
51,long negative,missiles,3.17
52,long negative,missles,3.33
53,long negative,mistake,2.86
54,long negative,murderer,1.53
55,long negative,nuclear,3.25
56,long negative,nuisance,3.27
57,long negative,pervert,2.79
58,long negative,problem,2.74
59,long negative,punishment,2.22
60,long negative,repulsed,2.48
61,long negative,ridicule,3.13
62,long negative,robbery,2.42
63,long negative,sadness,2.21
64,long negative,scalding,2.82
65,long negative,selfish,2.42
66,long negative,shoplifter,2.93
67,long negative,smallpox,2.52
68,long negative,starving,2.39
69,long negative,stricken,3.29
70,long negative,suicide,1.25
71,long negative,surgery,2.86
72,long negative,terrified,1.72
73,long negative,toothache,1.98
74,long negative,unfaithful,2.05
75,long negative,violent,2.29
76,long neutral,activate,5.46
77,long neutral,aggressive,5.1
78,long neutral,antique,5.39
79,long neutral,anxious,4.81
80,long neutral,appliance,5.1
81,long neutral,battleship,4.93
82,long neutral,blowdryer,5.31
83,long neutral,boyfriend,5.74
84,long neutral,busybody,5.17
85,long neutral,cabinet,5.05
86,long neutral,calender,5.42
87,long neutral,candlestick,5.43
88,long neutral,ceiling,5.45
89,long neutral,chimney,5.72
90,long neutral,clarinet,5.7
91,long neutral,cliffdiver,5.8
92,long neutral,cognition,5.57
93,long neutral,complex,5.25
94,long neutral,concentrate,5.2
95,long neutral,conquest,5.85
96,long neutral,consoled,5.78
97,long neutral,corridor,4.88
98,long neutral,crackers,5.8
99,long neutral,curtains,4.83
100,long neutral,elderly,4.86
101,long neutral,empathy,5.32
102,long neutral,erasure,4.84
103,long neutral,explosion,5.18
104,long neutral,freezer,4.96
105,long neutral,furnace,4.81
106,long neutral,glacier,5.5
107,long neutral,grafitti,4.82
108,long neutral,greyhound,5.42
109,long neutral,hairdryer,4.84
110,long neutral,herring,5.43
111,long neutral,history,5.24
112,long neutral,hospital,5.04
113,long neutral,inhabitant,5.05
114,long neutral,intoxicated,5
115,long neutral,kerchief,5.11
116,long neutral,ketchup,5.6
117,long neutral,knitting,4.94
118,long neutral,lightbulb,5.61
119,long neutral,lighthouse,5.89
120,long neutral,location,5.36
121,long neutral,machine,5.09
122,long neutral,masturbate,5.45
123,long neutral,military,5.54
124,long neutral,mushroom,5.78
125,long neutral,newspaper,5.52
126,long neutral,nursery,5.73
127,long neutral,passage,5.28
128,long neutral,prairie,5.75
129,long neutral,president,5.2
130,long neutral,privacy,5.88
131,long neutral,propeller,5.43
132,long neutral,religion,5.07
133,long neutral,reserved,4.88
134,long neutral,reverent,5.35
135,long neutral,scrotum,5.85
136,long neutral,society,5.03
137,long neutral,subject,5.04
138,long neutral,surgeon,5.36
139,long neutral,sympathy,5.33
140,long neutral,teacher,5.68
141,long neutral,temptation,4.94
142,long neutral,terrace,5.55
143,long neutral,testicles,5.38
144,long neutral,tourist,5.66
145,long neutral,treatment,5.24
146,long neutral,trumpet,5.75
147,long neutral,umbrella,5.16
148,long neutral,volcano,4.84
149,long neutral,whistle,5.81
150,long neutral,zealous,5.67
151,short negative,ache,2.46
152,short negative,bad,2.56
153,short negative,ban,3.48
154,short negative,bawl,3.41
155,short negative,bomb,2.1
156,short negative,burn,2.73
157,short negative,clot,3.13
158,short negative,cram,3.16
159,short negative,cult,2.48
160,short negative,dead,1.94
161,short negative,debt,2.22
162,short negative,dent,2.93
163,short negative,die,2.48
164,short negative,dumb,3
165,short negative,dump,3.21
166,short negative,end,3.44
167,short negative,envy,3.41
168,short negative,evil,3.23
169,short negative,exam,2.76
170,short negative,fail,1.79
171,short negative,fake,3.1
172,short negative,fat,2.28
173,short negative,fear,2.76
174,short negative,feud,3.07
175,short negative,fire,3.22
176,short negative,flaw,3.28
177,short negative,flee,3.29
178,short negative,flu,2.52
179,short negative,foul,2.81
180,short negative,fury,3.1
181,short negative,gang,2.59
182,short negative,germ,3.35
183,short negative,gun,3.47
184,short negative,hate,2.12
185,short negative,hell,2.24
186,short negative,hive,3.18
187,short negative,hurl,3.12
188,short negative,hurt,1.9
189,short negative,jail,1.95
190,short negative,lack,3.21
191,short negative,lie,2.79
192,short negative,lose,2.81
193,short negative,loss,1.89
194,short negative,lost,2.82
195,short negative,mad,2.44
196,short negative,mob,3.27
197,short negative,nag,2.9
198,short negative,odor,2.52
199,short negative,old,3.31
200,short negative,owe,3.25
201,short negative,pale,3.17
202,short negative,pout,2.83
203,short negative,pry,3.47
204,short negative,pus,2.86
205,short negative,quit,2.46
206,short negative,rape,1.25
207,short negative,rash,2.54
208,short negative,rat,3.02
209,short negative,riot,2.96
210,short negative,rob,2.8
211,short negative,rot,2.68
212,short negative,rude,2.5
213,short negative,sad,1.61
214,short negative,shun,2.97
215,short negative,sick,1.9
216,short negative,sin,2.8
217,short negative,slap,2.95
218,short negative,slob,3.12
219,short negative,slum,2.39
220,short negative,sob,2.03
221,short negative,tomb,2.94
222,short negative,ugly,2.43
223,short negative,war,2.08
224,short negative,wasp,3.37
225,short negative,weep,1.8
