subject_column,AssignedList_column,subject_dob_column,subject_age_column,subject_gender_column,trialnum_column,Stim_column,Type_column,Experiment_column,OrderGroup_column,ReactionTime_column,StimSide_column,StimPosition_column,Response_column,Valid_column,TrialEndSecs_column,PairID_column,List_column
9,1,27/3/95,21,m,1,The museum visited Mary,Non-sensible,edin_semantics,emo_sem_emo_sem,2.81385633203899,2,1,1,1,273638.108738448,16,A
9,1,27/3/95,21,m,2,Liz weighed the sugar,Sensible,edin_semantics,emo_sem_emo_sem,3.11368076899089,2,2,2,1,273641.966400553,139,A
9,1,27/3/95,21,m,3,The fur stroked Rob,Non-sensible,edin_semantics,emo_sem_emo_sem,3.51237504679011,2,2,2,1,273646.223936551,41,A
9,1,27/3/95,21,m,4,Josh taught the rules,Sensible,edin_semantics,emo_sem_emo_sem,2.4551637476543,1,1,1,1,273649.422986702,90,A
9,1,27/3/95,21,m,5,The paper cut Jon,Non-sensible,edin_semantics,emo_sem_emo_sem,2.99645634589251,1,1,1,1,273653.163021558,20,A
9,1,27/3/95,21,m,6,The ball squeezed Josh,Non-sensible,edin_semantics,emo_sem_emo_sem,3.06722038204316,2,2,2,1,273656.973682539,1,A
9,1,27/3/95,21,m,7,Fred lent the car,Sensible,edin_semantics,emo_sem_emo_sem,2.36118651635479,1,1,1,1,273660.078640961,94,A
9,1,27/3/95,21,m,8,Amy lifted the crate,Sensible,edin_semantics,emo_sem_emo_sem,3.38398950855481,2,1,1,1,273664.206787562,144,A
9,1,27/3/95,21,m,9,Fred served the dessert,Sensible,edin_semantics,emo_sem_emo_sem,2.92567691521253,2,2,2,1,273667.876277114,145,A
9,1,27/3/95,21,m,10,The dishes washed Mark,Non-sensible,edin_semantics,emo_sem_emo_sem,3.03194195707329,2,2,2,1,273671.651617656,57,A
9,1,27/3/95,21,m,11,Erin described the church,Sensible,edin_semantics,emo_sem_emo_sem,2.65479729109211,2,2,2,1,273675.050599942,117,A
9,1,27/3/95,21,m,12,The jar labeled Liz,Non-sensible,edin_semantics,emo_sem_emo_sem,3.16130826232256,2,2,2,1,273678.95528049,61,A
9,1,27/3/95,21,m,13,The folder carried Dan,Non-sensible,edin_semantics,emo_sem_emo_sem,4.29081151570426,1,1,1,1,273683.989120799,30,A
9,1,27/3/95,21,m,14,Ian labeled the box,Sensible,edin_semantics,emo_sem_emo_sem,2.74934508628212,1,1,1,1,273687.482122331,136,A
9,1,27/3/95,21,m,15,The tree hugged Amy,Non-sensible,edin_semantics,emo_sem_emo_sem,3.97326880838955,2,2,2,1,273692.198384332,11,A
9,1,27/3/95,21,m,16,Phil solved the problem,Sensible,edin_semantics,emo_sem_emo_sem,2.83058325166348,2,2,2,1,273695.773725709,109,A
9,1,27/3/95,21,m,17,Fred chopped the carrots,Sensible,edin_semantics,emo_sem_emo_sem,3.58394954662072,2,1,1,1,273700.101925036,102,A
9,1,27/3/95,21,m,18,Eve typed the message,Sensible,edin_semantics,emo_sem_emo_sem,2.26793251244817,2,1,1,1,273703.11274362,124,A
9,1,27/3/95,21,m,19,Liam sliced the onion,Sensible,edin_semantics,emo_sem_emo_sem,3.38393209932838,2,1,1,1,273707.240904974,78,A
9,1,27/3/95,21,m,20,Luke watered the plants,Sensible,edin_semantics,emo_sem_emo_sem,3.14963912393432,2,2,2,1,273711.133868917,129,A
9,1,27/3/95,21,m,21,The movie watched Ella,Non-sensible,edin_semantics,emo_sem_emo_sem,3.12566581822466,2,2,2,1,273715.003305679,33,A
9,1,27/3/95,21,m,22,Max kicked the door,Sensible,edin_semantics,emo_sem_emo_sem,2.93792880489491,1,1,1,1,273718.684556096,114,A
