stim,haf,slide,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,31,32,33
שברתי את המים,haf4,1,894,1708,919,978,898,688,671,903,678,1169,1037,979,827,821,1606,769,639,1108,734,788,1099,1312,947,1032,571,677,748,823,1699,1112,1443
שתיתי את הכיסא,haf4,2,886,2691,761,1134,708,610,616,820,674,804,959,926,1024,780,1148,948,727,1322,630,1573,1276,1258,1030,837,711,754,823,761,1435,859,1101
קימטתי את הנהר,haf4,3,730,1968,687,1050,911,720,818,790,700,1000,871,673,762,705,1052,663,604,1118,780,1306,943,866,916,813,,693,709,840,1718,849,1076
חפפתי את המפתח,haf4,4,804,1565,643,873,701,707,604,1037,683,894,1101,926,963,735,1018,727,711,1584,584,1336,2896,809,1507,841,674,751,835,786,1148,679,1012
כיבסתי את המקרר,haf4,5,623,1934,645,702,568,745,696,696,606,900,820,837,660,823,875,706,773,979,622,1002,1039,1698,895,797,595,702,652,727,998,734,1112
הדלקתי את הגשם,haf4,6,913,1828,694,726,909,715,575,893,938,2723,880,1015,2669,640,893,1406,655,1242,716,854,1072,764,835,886,592,745,691,820,1462,799,1106
לבשתי את הדרך,haf4,7,955,3068,1076,963,821,748,638,1329,780,1000,787,845,851,790,1337,787,866,918,791,1188,1183,764,1549,848,1351,774,,1029,1069,748,1262
בניתי את האורז,haf4,8,694,1528,889,994,768,696,556,,852,969,772,937,1176,717,852,827,630,1309,761,1243,1136,1669,1601,729,938,876,706,854,895,773,1107
הרחתי את המנגינה,haf4,9,914,2576,833,1044,885,854,1145,989,732,1061,845,749,955,922,1164,861,883,1642,712,883,1334,859,867,781,655,730,737,900,1307,910,1293
צחצחתי את הרעם,haf4,10,668,1871,887,845,749,661,598,1004,826,1283,864,893,967,647,1129,770,1083,1103,741,973,831,701,1146,944,688,940,740,884,1077,853,806
גזרתי את החול,haf4,11,606,2842,893,937,645,623,746,1086,659,943,911,1027,1016,604,1666,931,659,1278,752,1564,1279,897,1374,969,691,,659,1003,992,764,1038
שפכתי את הירח,haf4,12,654,1581,800,759,670,1338,569,,841,1022,841,878,1108,657,2087,1140,845,1390,651,995,1453,921,1667,763,831,1023,917,828,1104,815,1441
כיביתי את הדלת,haf4,13,1222,2120,884,813,714,723,907,668,577,958,757,845,840,757,1022,758,884,,772,1159,1039,835,1156,1864,808,789,720,863,1776,861,1077
שרפתי את העננים,haf4,14,771,1868,804,934,661,780,808,979,581,984,786,1065,1193,855,1028,812,682,1706,768,1435,1136,1015,880,925,687,1164,819,1131,1268,853,1313
נעלתי את האדמה,haf4,15,695,2812,1016,1064,732,753,548,820,695,4148,813,998,1053,695,1187,1023,1301,1288,864,1203,920,627,1475,827,735,763,757,1114,1156,878,1008
אספתי את המקלחת,haf4,16,849,1626,694,842,514,807,1138,1091,785,936,871,945,960,750,998,843,743,1237,675,708,1124,844,866,852,713,722,815,830,2131,726,1412
בלעתי את המחסן,haf4,17,,1665,1039,1044,775,704,723,1004,826,1529,936,939,1285,587,1415,1027,1560,1158,1057,866,973,792,1315,851,700,842,615,1035,1193,805,1109
חתכתי את היין,haf4,18,761,1373,765,920,814,687,982,883,604,915,931,1053,839,733,921,771,698,1528,707,738,1132,801,1007,824,692,857,646,1029,1308,774,735
הערתי את האדים,haf4,19,709,3411,732,867,894,735,2008,730,681,975,625,609,647,748,2276,714,678,989,756,1032,1372,824,892,899,1525,652,797,1296,1060,765,822
ראיינתי את החומץ,haf4,20,619,2216,931,859,913,763,798,822,774,1008,773,693,745,702,1014,711,955,1090,1210,1011,663,834,857,843,3821,781,772,1116,2113,821,852
פתרתי את האפונה,haf4,21,664,1699,808,,751,798,1156,809,786,1064,750,809,,752,1358,936,896,1155,1293,1657,2216,801,1441,849,1396,1495,917,1134,1401,653,829
קשרתי את התהום,haf4,22,750,1376,1043,1203,878,607,571,817,796,1174,723,715,,793,883,848,627,852,1445,916,1072,763,818,976,903,799,981,1464,1188,1010,896
קרעתי את המיץ,haf4,23,673,1809,1088,1006,676,702,780,782,630,2484,746,660,531,1107,1039,979,703,1076,880,1185,2430,2137,876,921,694,693,870,1188,1018,649,942
פרצתי את הכובע,haf4,24,788,1538,672,1602,947,1238,769,859,840,1235,781,779,742,757,1095,673,842,1012,1174,881,763,1217,867,814,909,680,775,1242,1823,760,1390
שטפתי את הריקוד,haf4,25,765,2103,955,957,776,852,775,774,769,975,808,590,817,867,1021,862,716,1473,811,1108,846,823,985,1190,1496,820,734,1018,1391,735,1044
שתלתי את הפטיש,haf4,26,671,3291,978,820,698,798,957,1230,769,1134,594,798,725,816,1056,781,766,989,712,842,1061,732,912,857,653,944,715,1086,1436,641,980
תפרתי את העשן,haf4,27,881,2090,674,834,871,635,1042,914,667,1752,692,795,729,894,1059,690,725,1467,592,1245,1823,867,856,845,816,707,782,884,1208,886,931
טיגנתי את החולצה,haf4,28,1011,2853,1086,951,1058,999,1030,795,795,967,684,654,717,754,1252,891,950,880,929,1052,717,772,909,843,1347,786,911,1033,1359,838,2147
חפרתי את הצבע,haf4,29,1090,2461,753,933,620,771,1061,934,820,2811,905,602,,1021,1109,767,734,1265,658,875,1844,804,862,1079,11058,811,1082,821,1248,1453,731
בישלתי את המדרגות,haf4,30,781,1701,797,,691,848,699,,817,1408,748,796,1254,814,1051,858,644,1219,881,1180,,836,967,798,1448,1116,1132,1009,961,718,843
הגברתי את הפיתה,haf4,31,1163,1286,831,832,825,1424,779,729,610,1253,770,717,833,902,1569,728,915,821,781,692,1154,844,1125,882,624,790,847,805,2283,840,1241
גיהצתי את הקפה,haf4,32,951,1562,870,805,605,798,612,796,627,1484,914,695,851,719,960,715,694,1341,733,796,646,742,1363,774,648,779,942,710,1515,789,1236
קיפלתי את היהלום,haf4,33,845,2149,814,1188,959,707,863,957,948,956,731,660,814,1054,974,723,875,1013,934,975,,758,904,830,4571,831,826,839,,877,883
גילחתי את הדבק,haf4,34,858,3032,722,924,963,1166,2274,1140,687,1010,811,1076,827,846,1234,940,755,1544,566,1252,1435,1159,1251,821,1514,903,973,892,1113,867,825
חיממתי את המים,bikA,35,705,1934,777,827,717,842,2056,753,832,914,639,727,884,829,1100,757,1056,975,650,836,1712,771,1148,904,1696,1469,1308,841,1159,670,1082
הזזתי את הכיסא,bikA,36,581,1625,739,910,,766,1062,881,620,948,815,1394,862,751,1046,674,822,965,739,851,611,822,1101,782,637,1094,1376,1152,1835,694,1648
צילמתי את הנהר,bikA,37,989,1983,815,1073,821,814,773,728,640,1700,827,786,715,884,1168,788,715,1102,1114,1043,1128,685,797,1575,626,750,1263,1343,2724,820,1293
מצאתי את המפתח,bikA,38,834,1434,816,1009,985,797,1164,873,728,1034,695,1435,626,890,1044,1123,819,1176,796,,523,803,980,837,1696,663,777,899,1410,700,808
פתחתי את המקרר,bikA,39,722,2856,781,960,903,638,1215,912,642,930,723,1058,1031,921,1206,702,809,1245,722,1142,947,863,954,874,,738,752,1285,1389,726,629
ציירתי את הגשם,bikA,40,578,1741,694,,706,820,1277,875,826,937,957,1074,1041,810,1056,797,868,1445,1171,1149,975,1057,1078,948,1002,659,980,725,1394,1102,1265
חיפשתי את הדרך,bikA,41,783,2222,1032,1139,733,765,662,824,844,1186,665,559,776,650,3207,688,976,1035,843,1183,806,836,969,782,1063,1031,919,896,1006,761,909
בישלתי את האורז,bikA,42,645,2152,898,996,769,1188,1362,,771,1904,,887,818,931,2227,779,1064,867,869,888,914,889,1213,845,13799,810,844,1473,1233,854,920
ניגנתי את המנגינה,bikA,43,674,1321,1056,837,636,956,747,865,848,879,845,927,2161,912,1038,818,1005,1063,1346,1182,759,800,930,738,1474,666,861,879,1131,811,998
שמעתי את הרעם,bikA,44,604,1554,661,692,606,735,967,791,956,936,582,593,764,749,892,728,783,1031,611,1077,695,1573,1067,769,1343,661,875,836,1401,657,931
פיזרתי את החול,bikA,45,1066,4266,848,910,937,669,771,1269,858,1125,619,883,580,684,1601,755,740,1199,1035,1142,1447,772,882,892,897,834,870,924,2007,838,971
צילמתי את הירח,bikA,46,1024,2063,1116,1193,1038,763,742,1012,889,1043,780,888,949,791,1030,693,790,1030,830,875,661,792,839,819,5604,811,1164,859,1545,850,901
סגרתי את הדלת,bikA,47,881,1779,1185,984,1093,669,772,2059,770,1285,750,1422,1164,630,2056,982,631,1087,786,1153,1121,782,806,892,777,810,1248,882,1082,835,871
ראיתי את העננים,bikA,48,1012,3031,732,874,740,930,884,596,649,1848,814,622,799,768,2411,670,791,1317,796,747,2591,1008,881,863,880,820,1056,811,1510,1078,868
השקיתי את האדמה,bikA,49,951,2252,790,808,661,818,918,852,898,1286,680,729,1052,957,1724,820,811,1205,599,1029,978,1820,1055,890,2119,886,852,1276,2035,772,817
שיפצתי את המקלחת,bikA,50,981,2773,912,1871,837,699,1252,795,629,1625,755,643,644,702,1089,775,664,1757,785,999,747,721,804,924,757,746,1006,978,1834,1334,818
שיפצתי את המחסן,bikA,51,568,1510,817,886,658,760,803,754,647,1125,675,714,1009,675,1621,691,745,967,866,1032,1217,932,834,780,840,781,765,968,988,811,1123
טעמתי את היין,bikA,52,656,1641,777,775,646,827,670,1236,841,1798,855,1173,1045,709,1019,849,1216,1292,644,1224,877,745,1262,780,658,780,649,831,889,757,1234
ניגבתי את האדים,bikA,53,958,1293,941,740,813,735,534,1516,734,1285,870,1606,938,669,958,1160,986,1098,715,866,1023,727,1207,758,750,884,639,815,1087,830,1471
טעמתי את החומץ,bikA,54,1077,2127,814,1124,683,791,667,976,843,869,843,915,985,636,1411,904,638,1420,735,1442,1201,1685,1179,831,688,777,929,811,2125,761,933
זרקתי את האפונה,bikA,55,957,1685,861,901,741,821,940,801,635,839,748,735,1330,795,1081,836,896,1716,717,1142,693,1195,1406,850,2250,650,617,922,2311,813,1489
מצאתי את התהום,bikA,56,662,2455,868,876,765,767,532,910,657,1005,918,854,1138,709,1261,948,850,1071,747,1150,2004,810,998,814,626,1011,810,956,1205,821,1115
ניגבתי את המיץ,bikA,57,914,2096,742,885,1034,800,646,980,797,1149,764,810,982,647,1718,835,835,1334,747,1113,825,672,2329,850,759,831,876,772,1296,809,1140
הזזתי את הכובע,bikA,58,974,3182,849,910,1101,617,742,1140,696,1245,806,765,877,728,1027,780,768,981,636,1191,1511,1032,648,857,1161,752,797,789,1641,666,1021
אהבתי את הריקוד,bikA,59,669,2019,1057,1006,765,795,545,882,809,916,808,880,851,828,1108,793,881,1130,1283,1376,1853,1420,711,870,589,725,812,1050,1458,781,1423
הרמתי את הפטיש,bikA,60,902,1156,802,965,831,797,703,724,1265,1175,804,874,1088,655,2023,686,804,1093,746,1285,1135,1081,1022,821,1007,763,923,827,2140,818,1590
הרחתי את העשן,bikA,61,786,1272,1430,1058,1018,785,618,1364,842,1041,914,952,1121,686,834,1066,822,1284,1550,1639,703,1099,1741,889,2476,996,850,1242,1761,1257,1083
לבשתי את החולצה,bikA,62,728,2089,929,905,692,773,643,1054,644,878,1035,1040,1344,680,1049,974,625,1186,687,1029,1095,867,842,1088,2154,829,660,829,1603,845,1035
חיפשתי את הצבע,bikA,63,677,3054,,914,1342,788,635,,574,936,1091,654,832,656,955,673,737,1013,769,1073,559,960,889,896,610,731,740,1243,1793,793,855
תיקנתי את המדרגות,bikA,64,825,2213,952,986,969,687,675,1152,971,886,1028,1011,1391,625,840,,621,1347,1524,1176,1702,753,1362,872,1505,901,931,1604,1296,960,936
אפיתי את הפיתה,bikA,65,884,1849,1412,932,992,681,598,847,730,999,850,700,681,675,864,749,741,1437,1090,1451,1995,732,1451,969,836,695,920,1312,2795,,1057
הכנתי את הקפה,bikA,66,739,2385,837,990,856,636,533,,770,1406,762,793,755,723,2222,888,1516,1209,904,1048,589,739,1257,869,563,812,873,1239,1437,1000,1212
מכרתי את היהלום,bikA,67,657,1326,632,880,660,1062,759,939,657,813,758,846,788,723,896,642,645,1037,662,1204,1933,764,1597,795,627,671,770,789,878,811,1443
מרחתי את הדבק,bikA,68,682,2474,759,1021,726,1069,714,1010,831,830,866,873,1092,720,1064,1002,839,1051,860,1595,1072,791,1009,758,1275,965,918,1144,1023,725,1314
שברתי את הכוס,bikB,69,703,1492,741,777,950,663,661,789,594,1398,1012,1178,1176,806,875,811,642,1335,741,1452,1549,1701,787,757,715,679,765,759,1267,854,756
שתיתי את השוקו,bikB,70,1396,3221,940,1320,854,832,784,763,544,1342,649,748,692,807,1106,669,646,934,922,735,823,928,728,864,646,,895,1156,1458,776,1140
קימטתי את הנייר,bikB,71,701,1614,909,908,707,929,1054,964,769,1015,676,1724,947,889,1169,844,879,1156,796,1180,693,1050,1029,771,1381,851,974,2319,1046,751,950
חפפתי את השיער,bikB,72,598,2295,845,1141,842,791,1257,846,572,1114,612,871,958,833,1296,720,698,971,786,829,1452,882,1184,958,1332,769,1171,1139,2398,1551,964
כיבסתי את הצעיף,bikB,73,730,1180,838,975,706,868,1307,874,708,849,739,940,855,1046,832,740,829,1810,987,784,1316,813,990,966,,773,1041,1032,1312,1235,930
הדלקתי את האור,bikB,74,583,1934,784,904,627,1020,610,860,753,1510,748,868,700,645,1082,743,828,1179,787,1039,1754,659,1237,772,1499,802,1065,897,1225,845,962
לבשתי את הכפפות,bikB,75,566,1485,947,951,826,1054,605,732,789,1060,652,626,785,682,1315,782,678,889,1048,842,693,743,778,799,671,843,715,1105,1422,792,923
בניתי את הבניין,bikB,76,731,1677,931,817,763,660,723,892,636,872,806,755,791,738,3216,683,610,1142,1124,863,646,763,799,1115,641,725,823,913,1150,1456,
הרחתי את הפשטידה,bikB,77,713,2058,766,905,842,854,1296,822,810,1044,754,674,883,747,736,635,1027,1044,2245,1164,1117,830,1014,898,3413,737,1188,1380,1250,674,826
צחצחתי את הבית,bikB,78,981,3204,795,843,723,595,636,696,606,1560,731,614,627,733,1114,543,617,964,662,1227,834,827,1025,797,763,727,772,851,1572,896,766
גזרתי את החוט,bikB,79,892,1390,938,681,656,724,,,889,954,734,782,668,728,1021,715,748,1018,966,976,773,788,852,816,642,724,880,757,1279,772,875
שפכתי את המיץ,bikB,80,688,1486,734,982,1123,662,1416,944,747,1080,822,778,836,958,1350,750,786,1413,1164,1092,1680,947,831,779,1812,755,732,833,1697,719,893
כיביתי את המחשב,bikB,81,693,1573,745,919,1306,763,810,798,645,936,783,966,837,697,1042,734,987,820,948,1239,1194,743,1137,853,627,680,600,1362,1649,,1158
שרפתי את התבשיל,bikB,82,854,1941,893,962,753,828,861,1278,707,1363,752,687,891,662,1420,736,883,840,1143,1079,,,1030,802,1589,714,1084,817,1194,831,1120
נעלתי את הארון,bikB,83,757,1646,787,1153,613,908,1459,714,711,1064,738,641,663,1076,987,734,947,1900,645,1283,1239,1659,1173,779,2315,676,932,946,2091,820,977
אספתי את הקוביות,bikB,84,906,3108,647,1104,1477,681,1345,678,698,1092,738,638,686,707,1307,1011,713,974,627,1165,829,796,935,883,1757,815,1529,802,1966,725,802
בלעתי את האוכל,bikB,85,1158,3074,937,957,849,761,1541,,1003,1072,901,653,690,661,1530,853,818,,843,899,955,734,1023,934,701,,752,1311,1605,893,868
חתכתי את הלחם,bikB,86,685,1518,768,780,997,715,810,861,,994,783,,,831,1142,794,640,982,858,1082,1060,998,796,783,3389,702,852,789,914,653,1252
הערתי את הילדה,bikB,87,961,2329,927,950,736,835,506,1040,847,1261,869,889,1327,676,989,951,605,1012,964,1348,1069,789,911,821,619,793,978,1019,913,973,923
ראיינתי את האישה,bikB,88,1029,3157,840,1449,1119,630,589,1075,663,932,1125,907,1108,627,1126,811,980,1352,752,979,964,996,766,893,1369,720,849,917,1916,716,853
פתרתי את התרגיל,bikB,89,646,2468,753,917,868,890,698,785,865,880,850,1024,1105,673,827,835,781,1547,835,1372,1113,1377,1794,772,768,808,700,927,1638,759,1423
קשרתי את השרוך,bikB,90,936,2556,801,1575,827,,750,944,,1006,1068,961,1109,804,1056,919,817,1487,930,1318,1752,1281,1090,887,661,806,623,772,1847,737,1761
קרעתי את המפה,bikB,91,715,2025,744,1078,790,995,1105,733,734,824,915,1120,1514,902,994,848,988,1069,743,1068,902,2215,833,829,644,672,668,895,2916,1165,1036
פרצתי את הגבול,bikB,92,964,1766,720,940,798,786,716,1647,1274,1875,854,916,849,704,1778,746,984,1099,1414,951,1067,739,764,803,701,945,861,815,1240,782,987
שטפתי את הרצפה,bikB,93,989,1581,1004,1052,840,1345,703,860,727,914,868,905,955,682,1488,797,852,1034,1203,1285,993,703,1324,847,668,773,712,1468,1265,1238,1820
שתלתי את השתיל,bikB,94,977,1403,1073,1508,876,812,551,964,784,1199,851,1280,1168,684,1478,984,780,937,1033,921,710,783,1297,937,671,860,723,933,2013,1376,1168
תפרתי את הגרב,bikB,95,856,2237,870,1403,681,806,625,1000,1503,2086,908,758,1294,656,2570,1490,1012,1362,1088,880,862,,1080,905,574,1279,976,967,1838,651,769
טיגנתי את הקישוא,bikB,96,1196,1783,736,766,692,769,694,881,668,1062,763,711,883,632,1002,731,692,931,659,661,904,804,766,903,646,733,783,958,2256,743,876
חפרתי את הבאר,bikB,97,870,2698,849,911,866,708,905,873,795,1201,923,817,795,768,978,901,856,1031,1306,1039,756,1551,840,806,872,,1050,1075,1153,814,899
בישלתי את העגבניות,bikB,98,721,1322,1848,1049,901,785,1251,832,929,1553,793,819,996,661,1146,924,685,821,912,1043,1204,768,970,942,1600,743,817,1146,1106,853,1098
הגברתי את הקול,bikB,99,1311,3048,656,980,1661,727,621,915,630,928,995,880,1078,595,1623,1001,731,1237,660,1066,1178,979,776,767,780,814,845,1126,1290,611,886
גיהצתי את הבגד,bikB,100,677,1871,744,1185,891,895,532,1038,667,2290,849,813,1322,639,1362,699,746,1011,1207,1740,742,715,808,868,563,775,804,1259,2152,790,773
קיפלתי את הגופייה,bikB,101,609,1560,862,874,843,824,560,854,1017,2179,818,963,937,717,1012,866,865,1500,827,1578,908,846,1057,1054,612,745,849,1218,1146,847,1274
גילחתי את הראש,bikB,102,1031,1984,632,996,671,653,610,998,632,925,900,741,889,649,1025,702,789,1602,1078,729,934,843,904,934,690,780,661,1117,1444,739,984
אפיתי את הפשטידה,fil4,103,653,1889,722,1228,666,943,752,897,722,1361,941,812,1013,632,873,858,867,1186,1955,1454,1383,823,839,891,867,1156,666,1316,1954,718,1123
בישלתי את העגבניות,fil4,104,614,1436,753,809,743,759,532,1067,738,893,908,739,967,768,971,813,916,1151,656,681,997,1582,893,815,1158,796,777,761,1297,907,1187
דמיינתי את הבאר,fil4,105,777,1615,1466,1099,756,827,566,747,898,975,726,858,940,672,1075,780,818,1082,,1151,1608,708,981,888,629,716,707,1283,1627,790,1359
דמיינתי את הגבול,fil4,106,638,1619,872,1538,1089,759,558,1077,758,1085,960,1136,1128,598,1002,992,792,1237,1395,1714,1116,728,1373,859,1349,887,762,1686,1923,579,1088
הרמתי את הקישוא,fil4,107,690,2049,814,764,740,734,581,1165,757,969,715,790,851,703,1119,741,889,1238,764,1110,991,861,,801,608,678,908,836,970,789,1437
החלפתי את הגרב,fil4,108,736,1636,754,1164,802,634,529,1040,762,907,815,1031,1110,808,1115,674,691,1213,682,1084,915,946,750,887,739,651,762,876,1590,927,1145
החלפתי את המחשב,fil4,109,726,1478,,818,782,745,575,947,656,1044,923,1028,1265,695,1611,739,821,1119,837,,750,666,809,816,542,820,761,1017,1075,724,1092
הכנתי את התבשיל,fil4,110,762,1858,1084,905,844,825,720,1091,698,908,917,910,1068,934,1063,767,1092,1145,1175,902,1044,914,939,1155,1495,758,933,1009,,747,1172
המתקתי את המיץ,fil4,111,884,1137,941,1165,1095,662,824,1981,608,1252,905,1100,1399,706,1015,1136,1053,1188,1021,973,1015,710,1810,864,609,892,615,1406,1414,900,1002
המתקתי את השוקו,fil4,112,1007,1703,1153,926,876,818,836,851,669,817,1034,982,1380,666,1282,856,678,1354,1066,862,2358,810,1827,828,729,1036,771,1018,1565,900,1016
שמעתי את הקול,fil4,113,816,2268,661,908,788,935,644,1059,756,1450,973,1028,1980,574,1615,1028,696,1395,798,937,948,984,1000,1004,643,926,808,1004,1723,1014,922
ראיתי את האור,fil4,114,677,1622,837,907,729,675,547,1633,668,1169,1035,1381,1067,625,1059,1012,1498,1337,945,1066,1169,1018,763,816,932,1011,,1028,1210,903,967
מכרתי את החוט,fil4,115,1027,2921,999,973,868,741,593,868,1010,895,700,893,859,700,1048,653,708,1028,836,1252,1272,803,794,814,650,748,739,952,1184,769,903
לבשתי את הגופייה,fil4,116,1004,1287,1183,978,707,765,602,988,705,990,802,724,2152,580,1635,842,1323,1126,906,1051,1084,658,1367,776,1276,843,945,933,1066,947,1868
חיממתי את האוכל,fil4,117,1104,3595,803,915,732,680,788,921,689,1327,795,716,794,636,1163,649,1010,931,774,670,1190,869,968,786,665,884,851,741,2188,758,1123
זרקתי את הלחם,fil4,118,841,2364,839,1081,868,842,,939,789,1861,943,1278,,822,1022,724,958,1094,1269,1213,1039,1614,984,853,652,871,977,1323,1634,922,1359
השקיתי את השתיל,fil4,119,1075,1698,918,1168,711,873,1771,948,646,3075,852,1089,931,625,1340,1022,678,1275,814,915,3017,817,1378,796,1153,839,672,844,2062,1070,1056
תיקנתי את הכפפות,fil4,120,1000,1403,992,1051,795,1220,3468,862,770,1261,799,1004,939,846,1327,850,818,991,1112,1372,739,868,924,753,1301,761,915,1414,1729,883,932
אהבתי את הצעיף,fil4,121,611,1627,920,883,670,746,722,789,864,923,740,696,732,839,1925,765,753,970,989,1044,1168,781,820,766,668,689,1245,1941,1048,806,759
מצאתי את התרגיל,fil4,122,659,2179,815,1161,1123,655,1692,865,668,1269,1450,1778,834,854,1241,851,732,1132,822,1323,1212,853,932,790,6780,729,885,960,1977,900,811
ניקיתי את הבית,fil4,123,975,2229,785,1155,861,755,699,,812,1202,877,1742,762,818,1025,1050,763,1287,752,1124,570,1032,1002,850,1307,1108,1167,891,1354,993,803
ניקיתי את הרצפה,fil4,124,917,1550,902,1073,718,858,1188,1032,942,,811,791,726,717,1571,784,828,938,728,881,1677,660,975,862,657,957,725,964,2067,971,723
ציירתי את המפה,fil4,125,627,2243,809,891,799,1113,1184,824,923,1101,785,851,656,838,1395,809,814,982,829,1269,939,780,989,813,1382,691,1008,964,1049,822,928
סגרתי את הארון,fil4,126,,2967,755,1259,766,790,1274,699,1132,1252,718,606,726,853,1077,701,673,1709,731,1375,1295,765,911,819,523,690,723,933,2675,800,987
פגשתי את הילדה,fil4,127,802,1771,1430,1131,1127,867,1123,990,780,993,721,647,815,941,1564,684,1054,1431,1145,790,874,932,1113,945,,731,853,964,1533,2895,1020
פגשתי את האישה,fil4,128,648,1462,765,1038,713,704,805,1031,690,1725,737,650,794,662,1387,768,728,1162,655,1364,837,754,1003,782,764,935,644,835,1595,779,931
פיזרתי את הקוביות,fil4,129,773,2117,742,879,806,839,658,737,724,1174,715,600,652,646,1248,701,750,990,631,2036,1005,805,755,820,1452,655,895,991,987,793,835
צבעתי את הבניין,fil4,130,652,2450,737,1452,612,840,1888,668,815,1025,867,870,711,852,1047,1083,750,915,876,779,2112,956,1068,913,1347,934,929,953,1698,1047,907
צבעתי את הנייר,fil4,131,731,1212,1006,1098,768,700,1175,833,650,1178,722,774,772,944,1508,973,668,1032,1132,908,1341,835,1077,1091,,867,833,1114,1132,815,924
הרחתי את השיער,fil4,132,811,2284,672,1123,976,1020,833,,881,1281,795,1059,1588,914,1133,1052,827,1053,1172,951,1316,987,1096,3504,1763,1366,736,1191,1577,833,929
קניתי את הבגד,fil4,133,666,1900,709,897,656,664,,882,667,1693,721,698,840,773,1886,716,734,1109,866,1449,696,685,904,858,654,708,757,1158,1299,701,1301
קניתי את השרוך,fil4,134,695,1565,793,834,559,634,840,827,571,1071,820,787,820,610,1145,723,656,2012,676,1149,896,667,998,845,1052,,936,880,1488,765,819
רחצתי את הכוס,fil4,135,713,1975,892,939,922,849,664,1029,600,928,843,830,794,640,1961,931,641,907,795,752,1326,897,1729,837,725,714,1152,1198,1892,774,
רחצתי את הראש,fil4,136,818,2065,1456,1016,801,737,994,1058,724,1132,788,1189,838,659,851,947,749,932,2008,1282,1058,788,846,780,2024,862,1076,1276,1362,858,903
