Non-sensible,Sensible
The ball squeezed Josh,Josh squeezed the ball
The room tidied Sam,Sam tidied the room
The tomato sliced Liz,Liz sliced the tomato
The book read Sean,Sean read the book
The floor cleaned Tim,Tim cleaned the floor
The garlic crushed Erin,Erin crushed the garlic
The plans cancelled Ian,Ian cancelled the plans
The fruits mixed Jack,Jack mixed the fruits
The money offered Matt,Matt offered the money
The room searched Jen,Jen searched the room
The tree hugged Amy,Amy hugged the tree
The lolly sucked Leah,Leah sucked the lolly
The kettle got Lily,Lily got the kettle
The parcel mailed Rob,Rob mailed the parcel
The lesson taught Eve,Eve taught the lesson
The museum visited Mary,Mary visited the museum
The fence jumped Jon,Jon jumped the fence
The milk sniffed Phil,Phil sniffed the milk
The bucket lent Max,Max lent the bucket
The paper cut Jon,Jon cut the paper
The spoon licked Will,Will licked the spoon
The pill swallowed Luke,Luke swallowed the pill
The mirror kissed Max,Max kissed the mirror
The papers filed Lara,Lara filed the papers
The jumper wore Joe,Joe wore the jumper
The trolley pushed Matt,Matt pushed the trolley
The herbs chopped Phil,Phil chopped the herbs
The potatoes mashed Will,Will mashed the potatoes
The coins polished Jon,Jon polished the coins
The folder carried Dan,Dan carried the folder
The toffee chewed Ben,Ben chewed the toffee
The bushes trimmed Jon,Jon trimmed the bushes
The movie watched Ella,Ella watched the movie
The puzzle solved Joe,Joe solved the puzzle
The picture painted Ryan,Ryan painted the picture
The card posted Erin,Erin posted the card
The laptop fixed Jen,Jen fixed the laptop
The sofa sold Carl,Carl sold the sofa
The bike kicked Matt,Matt kicked the bike
The table wiped Beth,Beth wiped the table
The fur stroked Rob,Rob stroked the fur
The pen described John,John described the pen
The towels passed Phil,Phil passed the towels
The cake iced Mary,Mary iced the cake
The lever pulled Hugh,Hugh pulled the lever
The house built Kate,Kate built the house
The shelf dusted Jake,Jake dusted the shelf
The sheets counted Bill,Bill counted the sheets
The letter typed Phil,Phil typed the letter
The wall punched Jane,Jane punched the wall
The thread measured Amy,Amy measured the thread
The wine stored Leo,Leo stored the wine
The photo took Beth,Beth took the photo
The garden watered Jeff,Jeff watered the garden
The shirt ironed Josh,Josh ironed the shirt
The bowl scrubbed Liz,Liz scrubbed the bowl
The dishes washed Mark,Mark washed the dishes
The room entered Ryan,Ryan entered the room
The bill paid Mike,Mike paid the bill
The juice drank Matt,Matt drank the juice
The jar labeled Liz,Liz labeled the jar
The eggs whisked Dan,Dan whisked the eggs
The number dialed Tom,Tom dialed the number
The flour weighed Jen,Jen weighed the flour
The cheese grated Andy,Andy grated the cheese
The scarf knitted Tom,Tom knitted the scarf
The ham ate Tim,Tim ate the ham
The hill climbed Luke,Luke climbed the hill
The box lifted Kate,Kate lifted the box
The dish served Kate,Kate served the dish
The lorry dented Lily,Lily dented the lorry
The teeth brushed Carl,Carl brushed the teeth
The handle pulled Tim,Tim pulled the handle
The story wrote Ewan,Ewan wrote the story
The gun carried Ryan,Ryan carried the gun
The lemon squeezed Jay,Jay squeezed the lemon
The garage tidied Erin,Erin tidied the garage
The onion sliced Liam,Liam sliced the onion
The poster read Luke,Luke read the poster
The bath cleaned Jack,Jack cleaned the bath
The ice crushed Josh,Josh crushed the ice
The party cancelled Phil,Phil cancelled the party
The nuts mixed Liam,Liam mixed the nuts
The sweets offered Tom,Tom offered the sweets
The internet searched Max,Max searched the internet
The pillow hugged Kate,Kate hugged the pillow
The candy sucked Sam,Sam sucked the candy
The radio got Ben,Ben got the radio
The invite mailed Ian,Ian mailed the invite
The rules taught Josh,Josh taught the rules
The hospital visited Tom,Tom visited the hospital
